时间,名称,类别,星级,总次数,保底内
2020-12-09 06:50:50,雷泽,角色,4,46,24
2020-12-09 09:01:50,沐浴龙血的剑,武器,3,47,25
2020-12-09 09:01:51,铁影阔剑,武器,3,48,26
2020-12-09 10:01:00,沐浴龙血的剑,武器,3,49,27
2020-12-09 10:02:00,铁影阔剑,武器,3,50,28
2020-12-09 12:22:00,弹弓,武器,3,51,29
2020-12-09 12:42:00,飞天御剑,武器,3,52,30
2020-12-10 06:09:00,神射手之誓,武器,3,53,31
2020-12-10 06:23:00,飞天御剑,武器,3,54,32
2020-12-10 11:59:00,祭礼剑,武器,4,55,33
2020-12-10 12:21:00,铁影阔剑,武器,3,56,34
2020-12-10 12:26:00,雷泽,角色,4,57,35
2020-12-10 12:26:01,鸦羽弓,武器,3,58,36
2020-12-10 18:13:10,鸦羽弓,武器,3,59,37
2020-12-11 06:24:10,翡玉法球,武器,3,60,38
2020-12-11 07:41:10,黑缨枪,武器,3,61,39
2020-12-11 16:24:10,弹弓,武器,3,62,40
2020-12-11 20:17:10,铁影阔剑,武器,3,63,41
2020-12-11 20:56:10,雷泽,角色,4,64,42
2020-12-11 20:57:10,以理服人,武器,3,65,43
2020-12-12 00:02:10,黑缨枪,武器,3,66,44
2020-12-12 06:23:10,沐浴龙血的剑,武器,3,67,45
2020-12-14 06:06:10,冷刃,武器,3,68,46
2020-12-15 06:21:10,以理服人,武器,3,69,47
2020-12-19 15:46:10,沐浴龙血的剑,武器,3,70,48
2020-12-20 10:32:10,以理服人,武器,3,71,49
2020-12-20 11:01:10,西风剑,武器,4,72,50
2020-12-20 11:01:11,讨龙英杰谭,武器,3,73,51
2020-12-21 06:13:20,鸦羽弓,武器,3,74,52
2020-12-21 07:17:20,翡玉法球,武器,3,75,53
2020-12-21 17:14:20,黎明神剑,武器,3,76,54
2020-12-22 07:43:20,魔导绪论,武器,3,77,55
2020-12-23 10:15:20,沐浴龙血的剑,武器,3,78,56
2020-12-23 10:15:21,铁影阔剑,武器,3,79,57
2020-12-23 10:15:22,弹弓,武器,3,80,58
2020-12-23 10:15:23,弹弓,武器,3,81,59
2020-12-23 10:15:24,菲谢尔,角色,4,82,60
2020-12-23 11:58:30,飞天御剑,武器,3,83,61
2020-12-23 12:41:30,翡玉法球,武器,3,84,62
2020-12-23 15:48:30,魔导绪论,武器,3,85,63
2020-12-23 19:34:30,神射手之誓,武器,3,86,64
2020-12-23 21:51:30,冷刃,武器,3,87,65
2020-12-23 22:51:30,翡玉法球,武器,3,88,66
2020-12-23 23:20:30,魔导绪论,武器,3,89,67
2020-12-24 06:51:30,冷刃,武器,3,90,68
2020-12-24 13:56:30,匣里龙吟,武器,4,91,69
2020-12-24 13:56:31,黑缨枪,武器,3,92,70
2020-12-24 15:41:40,魔导绪论,武器,3,93,71
2020-12-24 15:41:41,黑缨枪,武器,3,94,72
2020-12-24 15:41:42,神射手之誓,武器,3,95,73
2020-12-24 16:14:50,菲谢尔,角色,4,96,74
2020-12-24 18:11:50,神射手之誓,武器,3,97,75
2020-12-24 18:11:51,阿贝多,角色,5,98,76
2020-12-24 20:48:00,弹弓,武器,3,99,1
2020-12-24 20:48:01,神射手之誓,武器,3,100,2
2020-12-24 21:23:10,黎明神剑,武器,3,101,3
2020-12-24 21:41:11,铁影阔剑,武器,3,102,4
2020-12-24 21:41:12,翡玉法球,武器,3,103,5
2020-12-24 22:28:20,鸦羽弓,武器,3,104,6
2020-12-25 07:02:21,班尼特,角色,4,105,7
2020-12-25 07:02:22,以理服人,武器,3,106,8
2020-12-25 08:22:30,沐浴龙血的剑,武器,3,107,9
2020-12-25 13:20:30,沐浴龙血的剑,武器,3,108,10
2020-12-25 13:20:31,弹弓,武器,3,109,11
2020-12-26 07:09:40,沐浴龙血的剑,武器,3,110,12
2020-12-26 11:53:40,冷刃,武器,3,111,13
2020-12-27 07:23:40,翡玉法球,武器,3,112,14
2020-12-27 09:34:40,铁影阔剑,武器,3,113,15
2020-12-27 10:25:40,翡玉法球,武器,3,114,16
2020-12-27 10:25:41,砂糖,角色,4,115,17
2020-12-27 15:33:50,翡玉法球,武器,3,116,18
2020-12-28 10:42:50,以理服人,武器,3,117,19
2020-12-28 10:42:51,铁影阔剑,武器,3,118,20
2020-12-28 13:01:00,弹弓,武器,3,119,21
2020-12-29 09:56:00,以理服人,武器,3,120,22
2020-12-29 23:08:00,翡玉法球,武器,3,121,23
2020-12-30 06:29:00,飞天御剑,武器,3,122,24
2020-12-31 07:02:00,翡玉法球,武器,3,123,25
2020-12-31 11:56:00,菲谢尔,角色,4,124,26
2020-12-31 11:57:00,魔导绪论,武器,3,125,27
2020-12-31 12:18:00,翡玉法球,武器,3,126,28
2020-12-31 12:18:01,鸦羽弓,武器,3,127,29
2021-01-01 08:05:10,黎明神剑,武器,3,128,30
2021-01-01 08:06:10,讨龙英杰谭,武器,3,129,31
2021-01-01 16:31:17,沐浴龙血的剑,武器,3,130,32
2021-01-02 07:16:02,以理服人,武器,3,131,33
2021-01-02 08:25:04,弹弓,武器,3,132,34
2021-01-02 08:25:09,砂糖,角色,4,133,35
2021-01-02 08:25:19,神射手之誓,武器,3,134,36
2021-01-02 08:27:54,铁影阔剑,武器,3,135,37
2021-01-02 08:28:08,黎明神剑,武器,3,136,38
2021-01-03 10:36:31,黎明神剑,武器,3,137,39
2021-01-03 10:36:36,黑缨枪,武器,3,138,40
2021-01-04 09:11:42,铁影阔剑,武器,3,139,41
2021-01-04 16:09:54,沐浴龙血的剑,武器,3,140,42
2021-01-04 16:10:10,冷刃,武器,3,141,43
2021-01-04 21:05:29,菲谢尔,角色,4,142,44
2021-01-04 21:05:35,以理服人,武器,3,143,45
2021-01-05 11:08:15,沐浴龙血的剑,武器,3,144,46
2021-01-05 13:36:48,神射手之誓,武器,3,145,47
2021-01-05 13:37:07,笛剑,武器,4,146,48
2021-01-06 07:32:39,以理服人,武器,3,147,49
2021-01-07 00:09:19,以理服人,武器,3,148,50
2021-01-07 08:08:21,黑缨枪,武器,3,149,51
2021-01-08 06:18:21,冷刃,武器,3,150,52
2021-01-08 16:22:22,以理服人,武器,3,151,53
2021-01-08 20:18:34,沐浴龙血的剑,武器,3,152,54
2021-01-08 20:19:15,以理服人,武器,3,153,55
2021-01-12 18:01:25,鸦羽弓,武器,3,154,56
2021-01-12 18:01:32,弹弓,武器,3,155,57
2021-01-12 18:01:38,诺艾尔,角色,4,156,58
2021-01-12 18:01:48,鸦羽弓,武器,3,157,59
2021-01-12 18:01:54,魔导绪论,武器,3,158,60
2021-01-12 18:01:59,魔导绪论,武器,3,159,61
2021-01-12 18:02:04,翡玉法球,武器,3,160,62
2021-01-12 18:02:13,鸦羽弓,武器,3,161,63
2021-01-12 18:02:19,以理服人,武器,3,162,64
2021-01-12 18:02:25,鸦羽弓,武器,3,163,65
2021-01-12 19:04:06,铁影阔剑,武器,3,164,66
2021-01-13 06:02:29,魔导绪论,武器,3,165,67
2021-01-13 08:46:44,西风秘典,武器,4,166,68
2021-01-14 06:30:35,讨龙英杰谭,武器,3,167,69
2021-01-14 15:29:25,飞天御剑,武器,3,168,70
2021-01-15 06:09:48,以理服人,武器,3,169,71
2021-01-15 08:34:08,铁影阔剑,武器,3,170,72
2021-01-15 08:34:19,诺艾尔,角色,4,171,73
2021-01-15 08:34:44,以理服人,武器,3,172,74
2021-01-16 08:12:12,魔导绪论,武器,3,173,75
2021-01-16 10:14:23,沐浴龙血的剑,武器,3,174,76
2021-01-17 06:16:05,讨龙英杰谭,武器,3,175,77
2021-01-18 06:04:39,甘雨,角色,5,176,78
2021-01-18 11:23:10,魔导绪论,武器,3,177,1
2021-01-18 12:00:20,菲谢尔,角色,4,178,2
2021-01-18 12:00:31,以理服人,武器,3,179,3
2021-01-18 12:00:37,飞天御剑,武器,3,180,4
2021-01-18 12:00:42,沐浴龙血的剑,武器,3,181,5
2021-01-19 06:02:19,鸦羽弓,武器,3,182,6
2021-01-19 09:22:26,鸦羽弓,武器,3,183,7
2021-01-20 06:10:45,香菱,角色,4,184,8
2021-01-20 11:59:44,铁影阔剑,武器,3,185,9
2021-01-21 06:02:09,冷刃,武器,3,186,10
2021-01-21 06:15:44,沐浴龙血的剑,武器,3,187,11
2021-01-22 06:11:48,飞天御剑,武器,3,188,12
2021-01-22 06:11:57,雨裁,武器,4,189,13
2021-01-22 18:37:27,弹弓,武器,3,190,14
2021-01-22 20:36:08,沐浴龙血的剑,武器,3,191,15
2021-01-23 00:04:53,行秋,角色,4,192,16
2021-01-23 06:43:34,沐浴龙血的剑,武器,3,193,17
2021-01-24 09:15:35,飞天御剑,武器,3,194,18
2021-01-25 07:22:43,诺艾尔,角色,4,195,19
2021-01-25 07:26:32,铁影阔剑,武器,3,196,20
2021-01-25 08:00:01,冷刃,武器,3,197,21
2021-01-26 07:20:22,黎明神剑,武器,3,198,22
2021-01-27 07:10:40,神射手之誓,武器,3,199,23
2021-01-27 07:10:48,翡玉法球,武器,3,200,24
2021-01-28 08:50:19,讨龙英杰谭,武器,3,201,25
